HQ424691 	1	27183	27258	Met	CAT	0	0	88.46
HQ424691 	2	27268	27344	Arg	TCG	0	0	61.15
HQ424691 	3	27358	27434	Arg	TCT	0	0	83.94
HQ424691 	4	1394 	1320 	Arg	CCT	0	0	66.39
